depth	yearBP	SST	Notes
186.5	399	8.38	MD99-2275
187.5	402	8.30	MD99-2275
188.5	405	6.93	MD99-2275
189.5	408	5.91	MD99-2275
190.5	411	6.70	MD99-2275
191.5	415	8.23	MD99-2275
192.5	418	7.81	MD99-2275
193.5	421	7.84	MD99-2275
194.5	424	8.43	MD99-2275
195.5	427	8.32	MD99-2275
196.5	430	8.37	MD99-2275
197.5	433	7.59	MD99-2275
198.5	436	7.22	MD99-2275
199.5	439	8.59	MD99-2275
200.5	442	8.31	MD99-2275
201.5	445	8.20	MD99-2275
202.5	448	7.34	MD99-2275
203.5	451	7.57	MD99-2275
204.5	455	7.88	MD99-2275
205.5	458	7.65	MD99-2275
206.5	461	7.93	MD99-2275
207.5	464	7.61	MD99-2275
208.5	467	7.52	MD99-2275
209.5	470	7.49	MD99-2275
210.5	473	7.84	MD99-2275
211.5	475	8.53	MD99-2275
212.5	477	8.02	MD99-2275
213.5	480	9.45	MD99-2275
214.5	482	8.38	MD99-2275
215.5	484	8.60	MD99-2275
216.5	486	9.60	MD99-2275
217.5	489	8.71	MD99-2275
218.5	491	8.01	MD99-2275
219.5	493	8.93	MD99-2275
220.5	495	7.11	MD99-2275
221.5	498	7.71	MD99-2275
222.5	500	8.11	MD99-2275
223.5	502	8.41	MD99-2275
224.5	504	7.62	MD99-2275
225.5	506	8.24	MD99-2275
226.5	509	7.69	MD99-2275
227.5	511	7.76	MD99-2275
228.5	513	7.96	MD99-2275
229.5	515	7.25	MD99-2275
230.5	518	7.23	MD99-2275
231.5	520	7.58	MD99-2275
232.5	522	7.51	MD99-2275
233.5	524	7.60	MD99-2275
234.5	527	7.09	MD99-2275
235.5	529	6.91	MD99-2275
236.5	531	7.95	MD99-2275
237.5	533	8.07	MD99-2275
238.5	536	8.66	MD99-2275
239.5	538	9.35	MD99-2275
240.5	540	8.07	MD99-2275
241.5	544	7.48	MD99-2275
242.5	547	7.96	MD99-2275
243.5	551	7.50	MD99-2275
