4360	101	1895	-95	-46	-60	-57	29	66	75	61	12	-32	-74	-92
4360	101	1896	-116	-121	-74	-42	-3	37	60	49	40	-23	-63	-24
4360	101	1897	-83	-122	-75	-38	0	46	63	55	28	-6	-38	-51
4360	101	1898	-97	-109	-57	-22	-1	52	60	45	29	8	-50	-72
4360	101	1899	-95	-116	-130	-82	15	49	57	70	23	-31	-82	-75
4360	101	1900	-55	-111	-66	-24	1	52	73	61	30	-4	-43	-81
4360	101	1901	-62	-46	-61	-40	7	46	66	49	40	-23	-33	-79
4360	101	1902	-130	-169	-95	-30	8	44	58	66	39	-5	-35	-59
4360	101	1903	-87	-103	-92	-57	1	52	58	56	40	-29	-66	-56
4360	101	1904	-99	-107	-96	-48	14	47	58	56	37	-42	-85	-61
4360	101	1905	-123	-113	-65	-53	11	50	58	55	13	-16	-59	-69
4360	101	1906	-67	-94	-87	-78	-13	45	60	51	36	-22	-63	-88
4360	101	1907	-91	-141	-103	-34	3	42	66	64	18	-17	-72	-17
4360	101	1908	-90	-125	-48	-29	1	34	76	53	51	11	-53	-62
4360	101	1909	-85	-78	-119	-12	9	56	73	65	44	-26	-37	-117
4360	101	1910	-104	-103	-101	-72	5	55	64	68	-9999	-9999	-9999	-9999
4360	101	1911	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	23	2	-29	-59
4360	101	1912	-49	-106	-71	-44	19	54	84	58	41	-1	-61	-72
4360	101	1913	-73	-80	-85	-16	19	44	57	52	46	-1	-60	-93
4360	101	1914	-51	-123	-106	-68	-16	37	59	62	22	1	-51	-73
4360	101	1915	-71	-128	-100	-42	9	45	74	77	39	29	-14	-47
4360	101	1916	-65	-67	-65	-55	22	71	64	69	46	1	-34	-103
4360	101	1917	-25	-58	-55	-36	13	48	85	57	18	-55	-87	-137
4360	101	1918	-148	-130	-51	-51	34	47	85	58	33	-11	-55	-67
4360	101	1919	-41	-149	-85	-86	18	46	62	52	21	-1	-37	-62
4360	101	1920	-109	-130	-87	-57	-6	52	75	54	28	2	-35	-89
4360	101	1921	-109	-62	-75	-68	4	46	57	55	26	-42	-28	-67
4360	101	1922	-46	-67	-59	-40	-2	43	58	50	22	0	-59	-39
4360	101	1923	-115	-59	-13	0	21	50	77	60	12	-29	-77	-58
4360	101	1924	-68	-70	-88	-52	1	43	58	-9999	13	-5	-50	-61
4360	101	1925	-92	-64	-69	-28	7	58	59	59	39	-8	-30	-84
4360	101	1926	-54	-25	-60	16	36	49	77	64	19	-17	-41	-52
4360	101	1927	-68	-43	-53	-26	12	47	78	73	42	-11	-13	-35
4360	101	1928	-60	-49	-27	-14	32	49	86	69	50	20	-35	-38
4360	101	1929	-12	-29	1	0	16	55	92	69	21	-23	-41	-38
4360	101	1930	-70	-57	-79	-1	29	62	71	59	42	-18	-59	-55
4360	101	1931	-75	-95	-79	-11	8	53	80	74	46	-8	-37	-82
4360	101	1932	-72	-2	-7	-42	35	73	82	72	44	-4	-39	-46
4360	101	1933	-70	-102	-58	-36	41	59	85	73	51	-13	-3	5
4360	101	1934	-74	-84	-44	-24	7	63	73	63	46	-13	-56	-17
4360	101	1935	-44	-122	-37	-48	40	59	70	60	39	-11	-20	-77
4360	101	1936	-123	-66	-88	-11	36	60	86	72	46	3	-24	-85
4360	101	1937	-43	-71	-68	-26	13	54	-9999	58	32	-11	-37	-53
4360	101	1938	-91	-62	-82	-28	14	52	77	60	32	-2	-59	-22
4360	101	1939	-84	-75	-25	-12	41	57	89	74	69	27	-26	-61
4360	101	1940	-61	-59	-72	-31	20	56	64	57	32	8	-47	-47
4360	101	1941	-89	-94	-42	3	40	58	79	71	61	26	-2	-51
4360	101	1942	-38	-53	-47	-32	20	62	81	70	42	-15	-18	-52
4360	101	1943	-57	-126	-62	-38	2	43	73	58	33	-18	-39	-35
4360	101	1944	-86	-56	-44	-32	11	57	67	59	39	-19	-63	-53
4360	101	1945	-88	-98	-31	2	30	56	74	62	42	18	-12	-65
4360	101	1946	-15	-77	-48	-35	23	49	75	63	47	25	-25	-11
4360	101	1947	-17	-55	-82	-32	25	71	81	70	43	-2	-39	-61
4360	101	1948	-70	-38	-53	-23	4	57	63	69	38	-9	-29	-70
4360	101	1949	-100	-82	-84	-83	10	57	68	59	26	-2	-31	-68
4360	101	1950	-31	-71	-61	-27	22	55	90	74	34	1	-24	-52
4360	101	1951	-62	-68	-99	-48	28	57	69	84	56	-2	-35	-70
4360	101	1952	-69	-80	-74	-23	20	50	73	60	47	18	-20	-26
4360	101	1953	-57	-53	-61	-54	52	52	81	71	45	-5	-37	-49
4360	101	1954	-48	-61	-55	-3	29	53	76	74	23	1	-18	-63
4360	101	1955	-88	-89	-57	6	21	62	60	60	43	1	-36	-91
4360	101	1956	-114	-39	-22	-24	17	50	63	62	35	-8	-33	-22
4360	101	1957	-40	-90	-77	-10	23	56	73	84	39	-10	-25	-83
4360	101	1958	-95	-86	-45	-23	6	51	62	67	56	10	-22	-66
4360	101	1959	-108	-77	-42	-51	23	55	62	57	34	25	-39	-43
4360	101	1960	-52	-106	-32	-32	27	50	72	64	44	12	0	-42
4360	101	1961	-41	-70	-95	-56	25	62	75	61	35	6	-52	-74
4360	101	1962	-72	-73	-80	-13	23	53	70	53	39	-6	-48	-61
4360	101	1963	-81	-84	-37	-42	-8	42	76	58	27	-5	-75	-63
4360	101	1964	-38	-28	-38	-25	6	40	67	70	25	8	-60	-75
4360	101	1965	-94	-32	-77	-32	13	35	73	68	21	3	-47	-89
4360	101	1966	-105	-96	-95	-33	-3	44	71	68	27	3	-63	-79
4360	101	1967	-47	-65	-100	-51	9	45	57	45	34	-29	-67	-99
4360	101	1968	-93	-109	-107	-51	8	55	65	59	42	-31	-23	-74
4360	101	1969	-113	-96	-136	-56	9	44	58	64	18	-29	-42	-63
