depth	d18O	dD
35.043	-27.02	
35.135	-26.32	
35.226	-28.49	
35.318	-29.76	
35.410	-29.99	
35.502	-28.51	
35.594	-26.80	
35.686	-25.86	
35.778	-25.73	
35.869	-25.93	
35.961	-25.92	
36.052	-25.38	
36.143	-25.67	
36.235	-26.97	
36.326	-28.47	
36.418	-30.51	
36.509	-31.07	
36.600	-29.55	
36.691	-27.02	
36.782	-24.62	
36.873	-24.65	
36.964	-26.91	
37.055	-27.55	
37.146	-27.77	
37.236	-27.99	
37.327	-27.68	
37.417	-26.70	
37.508	-25.56	
37.598	-24.71	
37.689	-23.67	
37.779	-23.29	
37.869	-23.38	
37.960	-23.65	
38.050	-22.24	
38.140	-22.03	
38.230	-24.09	
38.320	-26.99	
38.410	-29.47	
38.500	-31.40	
38.590	-32.14	
38.680	-30.47	
38.769	-27.15	
38.859	-26.16	
38.948	-27.47	
39.038	-29.51	
39.127	-31.26	
39.217	-30.57	
39.306	-28.40	
39.396	-26.75	
39.485	-26.68	
39.574	-26.92	
39.663	-27.30	
39.752	-26.83	
39.841	-26.31	
39.930	-27.51	
40.019	-29.72	
40.108	-30.50	
40.196	-29.33	
40.285	-27.77	
40.374	-26.95	
40.462	-25.52	
40.551	-25.05	
40.639	-27.02	
40.728	-28.85	
40.817	-28.79	
40.905	-27.24	
40.993	-25.45	
41.081	-25.01	
41.169	-25.56	
41.257	-27.72	
41.345	-29.51	
41.434	-28.17	
41.522	-27.87	
41.609	-26.03	
41.697	-24.74	
41.785	-25.10	
41.873	-27.91	
41.960	-30.23	
42.048	-30.82	
42.136	-29.30	
42.224	-26.73	
42.311	-25.17	
42.398	-25.13	
42.485	-25.84	
42.573	-26.73	
42.660	-26.92	
42.747	-26.55	
42.835	-24.90	
42.922	-24.37	
43.009	-27.46	
43.096	-30.59	
43.182	-31.58	
43.269	-30.28	
43.356	-28.78	
43.443	-24.82	
43.530	-22.23	
43.617	-23.09	
43.703	-23.02	
43.790	-23.96	
43.876	-26.57	
43.963	-28.98	
44.049	-29.82	
44.136	-28.51	
44.222	-26.18	
44.309	-25.99	
44.395	-27.62	
44.481	-28.83	
44.567	-29.46	
44.653	-28.85	
44.739	-27.25	
44.825	-25.04	
44.911	-25.08	
44.997	-26.96	
45.083	-28.97	
45.168	-30.35	
45.254	-30.49	
45.340	-28.84	
45.425	-27.02	
45.511	-23.58	
45.597	-23.69	
45.682	-24.53	
45.768	-25.37	
45.853	-26.14	
45.938	-27.36	
46.024	-28.73	
46.109	-29.65	
46.194	-29.75	
46.279	-28.66	
46.365	-27.03	
46.450	-25.70	
46.535	-25.30	
46.619	-26.38	
46.704	-27.27	
46.789	-27.90	
46.874	-28.40	
46.959	-28.36	
47.044	-28.10	
47.128	-26.67	
47.213	-25.06	
47.298	-23.78	
47.382	-24.40	
47.467	-27.35	
47.551	-29.21	
47.636	-30.93	
47.720	-31.57	
47.804	-30.72	
47.889	-29.02	
47.973	-26.69	
48.057	-25.82	
48.141	-26.11	
48.225	-27.06	
48.309	-28.41	
48.393	-29.08	
48.477	-28.43	
48.561	-27.74	
48.645	-26.82	
48.729	-27.19	
48.812	-28.32	
48.896	-29.58	
48.980	-30.41	
49.064	-30.97	
49.147	-29.77	
49.231	-27.99	
49.314	-27.74	
49.398	-28.61	
49.481	-29.23	
49.565	-29.21	
49.648	-28.55	
49.731	-27.17	
49.815	-25.10	
49.898	-24.21	
49.981	-22.05	
50.064	-25.70	
50.147	-26.11	
50.230	-27.16	
50.313	-30.43	
50.396	-27.18	
50.479	-28.27	
50.562	-27.43	
50.645	-27.15	
50.727	-27.83	
50.810	-28.28	
50.893	-28.91	
50.976	-25.64	
51.058	-29.95	
51.141	-29.49	
51.223	-28.65	
51.306	-27.66	
51.388	-27.21	
51.470	-23.30	
51.553	-27.32	
51.635	-28.85	
51.718	-30.31	
51.800	-30.64	
51.882	-29.70	
51.964	-25.67	
52.046	-24.61	
52.128	-26.12	
52.210	-28.45	
52.292	-30.08	
52.374	-30.15	
52.456	-28.77	
52.538	-27.02	
52.620	-25.36	
52.701	-22.22	
52.783	-26.99	
52.865	-25.86	
52.947	-32.26	
53.029	-33.48	
53.110	-32.73	
53.191	-31.13	
53.273	-27.47	
53.354	-25.74	
53.436	-25.70	
53.517	-26.56	
53.599	-29.06	
53.680	-31.37	
53.761	-32.51	
53.842	-31.58	
53.924	-28.28	
54.005	-24.61	
54.086	-27.61	
54.167	-26.14	
54.248	-24.39	
54.329	-23.61	
54.410	-24.02	
54.491	-25.50	
54.572	-26.82	
54.653	-27.22	
54.733	-26.39	
54.814	-25.49	
54.895	-25.36	
54.976	-24.79	
55.056	-27.27	
55.137	-28.83	
55.218	-28.56	
55.298	-28.21	
55.379	-27.77	
55.459	-27.20	
55.540	-26.54	
55.620	-27.13	
55.700	-28.72	
55.781	-30.11	
55.861	-30.76	
55.941	-30.41	
56.021	-28.72	
56.102	-26.54	
56.182	-25.56	
56.262	-26.48	
56.342	-29.59	
56.422	-31.13	
56.502	-31.23	
56.582	-28.54	
56.662	-25.71	
56.742	-24.82	
56.822	-24.93	
56.902	-25.83	
56.981	-26.68	
57.061	-28.01	
57.141	-28.87	
57.220	-29.60	
57.300	-30.37	
57.380	-29.63	
57.459	-27.67	
57.539	-24.03	
57.618	-25.62	
57.698	-26.89	
57.777	-27.46	
57.856	-27.58	
57.936	-28.62	
58.015	-29.89	
58.094	-30.00	
58.174	-28.70	
58.253	-27.06	
58.332	-26.88	
58.411	-28.48	
58.490	-29.33	
58.569	-30.14	
58.648	-30.63	
58.728	-30.64	
58.807	-27.69	
58.885	-26.34	
58.964	-24.98	
59.043	-26.26	
59.122	-29.25	
59.201	-30.56	
59.280	-30.29	
59.358	-29.59	
59.437	-27.00	
59.516	-25.65	
59.594	-25.51	
59.673	-27.89	
59.752	-29.14	
59.830	-29.54	
59.909	-28.69	
59.987	-26.96	
60.066	-25.19	
60.144	-23.46	
60.222	-22.42	
60.301	-25.62	
60.379	-27.33	
60.457	-29.09	
60.536	-29.71	
60.614	-30.03	
60.692	-29.68	
60.770	-28.48	
60.848	-27.28	
60.926	-28.36	
61.004	-30.91	
61.082	-31.58	
61.160	-30.55	
61.239	-28.07	
61.317	-26.21	
61.394	-24.25	
61.472	-26.48	
61.550	-31.13	
61.628	-31.46	
61.706	-29.27	
61.783	-28.03	
61.861	-27.18	
61.939	-26.69	
62.016	-26.77	
62.094	-27.82	
62.172	-29.51	
62.249	-30.15	
62.327	-29.35	
62.404	-28.18	
62.482	-26.97	
62.559	-25.58	
62.637	-24.55	
62.714	-27.70	
62.791	-28.96	
62.868	-28.34	
62.946	-27.56	
63.023	-26.13	
63.100	-25.80	
63.178	-27.39	
63.255	-29.35	
63.332	-30.23	
63.409	-29.74	
63.486	-28.71	
63.563	-28.26	
63.640	-27.80	
63.717	-26.70	
63.794	-25.32	
63.871	-24.90	
63.948	-25.92	
64.025	-27.66	
64.101	-28.67	
64.178	-28.91	
64.255	-28.40	
64.332	-27.27	
64.409	-25.85	
64.485	-25.31	
64.562	-26.15	
64.639	-27.88	
64.715	-29.59	
64.792	-30.06	
64.868	-30.09	
64.945	-29.40	
65.022	-29.19	
65.098	-28.68	
65.174	-28.08	
65.251	-26.07	
65.327	-25.00	
65.403	-28.90	
65.480	-31.27	
65.556	-31.97	
65.632	-30.60	
65.709	-28.50	
65.785	-26.37	
65.861	-26.83	
65.937	-28.30	
66.013	-29.50	
66.089	-30.76	
66.165	-30.07	
66.242	-27.76	
66.318	-25.75	
66.393	-24.68	
66.469	-25.04	
66.545	-26.22	
66.621	-27.35	
66.697	-27.61	
66.773	-23.95	
66.849	-26.46	
66.925	-30.62	
67.000	-30.85	
67.076	-30.25	
67.152	-29.57	
67.228	-27.80	
67.303	-26.46	
67.379	-26.31	
67.455	-27.94	
67.530	-29.98	
67.606	-30.86	
67.681	-30.43	
67.757	-29.52	
67.832	-28.62	
67.908	-27.92	
67.983	-27.16	
68.059	-26.00	
68.134	-25.22	
68.209	-25.73	
68.285	-28.55	
68.360	-30.65	
68.435	-30.51	
68.510	-28.45	
68.586	-25.00	
68.661	-22.72	
68.736	-25.30	
68.811	-26.49	
68.886	-26.37	
68.961	-26.52	
69.036	-26.50	
69.111	-25.28	
69.187	-23.12	
69.262	-20.93	
69.337	-22.71	
69.411	-27.07	
69.486	-30.34	
69.561	-30.51	
69.636	-29.42	
69.711	-27.10	
69.786	-24.95	
69.861	-24.02	
69.935	-25.21	
70.010	-27.26	
70.085	-28.03	
70.159	-28.30	
70.234	-28.04	
70.309	-27.49	
70.383	-26.45	
70.458	-25.95	
70.533	-27.76	
70.607	-29.91	
70.682	-30.08	
70.756	-28.55	
70.831	-26.61	
70.905	-24.94	
70.980	-26.17	
71.054	-30.18	
71.128	-30.71	
71.203	-29.75	
71.277	-29.07	
71.351	-26.87	
71.426	-24.64	
71.500	-25.02	
71.574	-27.11	
71.648	-28.20	
71.723	-29.34	
71.797	-30.06	
71.871	-27.82	
71.945	-26.69	
72.019	-25.95	
72.093	-25.36	
72.167	-25.07	
72.241	-25.69	
72.315	-27.72	
72.389	-27.61	
72.463	-27.97	
72.537	-29.01	
72.611	-29.38	
72.685	-28.35	
72.759	-25.85	
72.833	-24.77	
72.906	-23.96	
72.980	-26.72	
73.054	-28.26	
73.128	-29.44	
73.201	-29.26	
73.275	-28.48	
73.349	-27.38	
73.423	-26.23	
73.496	-26.20	
73.570	-26.91	
73.643	-27.27	
73.717	-24.95	
73.790	-23.15	
73.864	-23.66	
73.938	-25.12	
74.011	-26.90	
74.085	-29.32	
74.158	-29.86	
74.231	-29.10	
74.305	-27.84	
74.378	-27.85	
74.452	-28.97	
74.525	-29.06	
74.598	-28.80	
74.672	-28.58	
74.745	-28.71	
74.818	-28.53	
74.891	-28.06	
74.964	-27.98	
75.038	-28.76	
75.111	-29.00	
75.184	-29.39	
75.257	-29.76	
75.330	-29.57	
75.403	-28.66	
75.476	-27.81	
75.549	-28.13	
75.622	-29.44	
75.695	-30.67	
75.768	-30.98	
75.841	-30.38	
